word	count
vari	20
dibena	20
spēja	20
klausīties	20
mīļo	20
dzīvo	20
pīpi	20
valoda	20
annužu	20
darbi	20
saimnieka	20
saprast	20
asarām	20
pieminētā	20
saņemt	20
stāvot	20
malā	20
matus	20
dabūja	20
linu	20
iekliedzās	20
pilsētā	20
redzēja	20
acu	20
oļinietei	20
nevarētu	20
sēdot	20
jādara	20
švaukstam	20
pusei	20
jauniem	20
tenim	20
namu	20
neatbildēja	20
bairīša	20
kapsētā	20
edes	20
feldhauzenam	20
drekberģi	20
smagi	19
beigās	19
lēnām	19
kambarī	19
viņām	19
saņēmis	19
divas	19
vakars	19
saukt	19
galvā	19
sāku	19
iziet	19
seju	19
nest	19
«tagad	19
vieta	19
vispirms	19
krāsns	19
atstāt	19
nekur	19
piegāja	19
svētdienas	19
muižā	19
sajuta	19
durvju	19
krustu	19
dabūjis	19
rādīdams	19
asinis	19
augstu	19
lielmaņu	19
švauksta	19
zināma	19
līdzko	19
vāciski	19
runādams	19
maniem	19
labumu	19
meža	19
nevajaga	19
tādās	19
īstā	19
mīļais	19
dziedāja	19
valstīm	19
jādod	19
cienīgi	19
so	19
«bravo	19
ruļļi	19
krēsla	18
pudeles	18
izdevās	18
anniņa	18
daudzkārt	18
spēj	18
guļ	18
uzņēma	18
abiem	18
māt	18
prātam	18
gājis	18
nedēļu	18
visās	18
nekādi	18
tādām	18
otras	18
matiem	18
sievu	18
strādāt	18
spriest	18
šur	18
pamazām	18
šinīs	18
zināmu	18
garu	18
«var	18
logu	18
izgājis	18
lepņi	18
taisīt	18
netrūka	18
galva	18
tanī	18
pazina	18
mīlestības	18
lūgšanu	18
bazūnes	18
savam	18
lielskungs	18
pudeli	18
alus	18
slepen	18
vīna	18
kučiers	18
raņķim	18
is	18
laiki	17
meitu	17
zem	17
staigāja	17
skaitīja	17
vajadzēs	17
namā	17
pulkā	17
skolotājs	17
daļu	17
sūtīt	17
gods	17
pusēm	17
spīdēja	17
veci	17
ziemas	17
vezuma	17
ļaunā	17
irbēnos	17
malu	17
palīgu	17
turienes	17
kaktā	17
mazs	17
gardibeni	17
redzēs	17
tikai	17
strādāja	17
gabalu	17
skriet	17
redzēts	17
mūs	17
pazīt	17
vainas	17
vainu	17
mantas	17
bēda	17
pilsētas	17
īpašu	17
kapeikas	17
krūtīm	17
ikkurš	17
ļaunu	17
nākot	17
kaunu	17
labums	17
runu	17
priekšistabā	17
vecākais	17
gribat	17
draugs	17
protams	17
pasta	17
vasarā	17
lielkunga	17
proti	17
šāda	17
miega	17
lielais	17
netaisnību	17
pāvul	17
kapsētas	17
lakatu	16
tava	16
garš	16
dos	16
vecie	16
veca	16
vējš	16
klausījās	16
varat	16
brīnums	16
gabaliņu	16
veikli	16
prasīt	16
slātaviešos	16
gars	16
darīšanās	16
oļiņi	16
griezās	16
spiež	16
vecam	16
šām	16
svešā	16
ēst	16
uguni	16
gari	16
iesākt	16
«kādēļ	16
rūpes	16
neesi	16
pieci	16
saimnieces	16
ilzes	16
pusdienas	16
rādīt	16
ies	16
siena	16
kaklu	16
lielās	16
kasparam	16
nopūtās	16
sauc	16
nevarēju	16
der	16
valsti	16
turēties	16
vajadzību	16
asinīm	16
maksāt	16
grūt	16
gaismā	16
trokšņa	16
vaigs	16
iztrūkās	16
tīši	16
manā	16
saules	16
vaigā	16
ziņa	16
skaidrā	16
vajadzējis	16
saimniekam	16
saprotams	16
jauni	16
andžs	16
rubļi	16
mežā	16
viesu	16
īstas	16
kapu	16
gaisu	16
prezidenta	16
malēju	16
viesnīcā	16
barons	16
krustmāt	15
turpmāk	15
iešu	15
iesim	15
lielām	15
drēbes	15
iekam	15
nedabūja	15
tirgus	15
neesam	15
uzcēlās	15
vecu	15
kārtas	15
otrkārt	15
prieks	15
apsēdās	15
vidu	15
prieka	15
raudzīja	15
domās	15
gadiem	15
vecs	15
abus	15
sievieši	15
vaigu	15
radiem	15
paldies	15
loga	15
manam	15
kāju	15
jāsteidzas	15
lietus	15
stāvu	15
sienu	15
grēkiem	15
«dievs	15
brauc	15
paklusu	15
daba	15
mīlestība	15
dzirdēts	15
galdu	15
sacījis	15
«uz	15
kluss	15
pasaule	15
kuros	15
trim	15
dzirdama	15
gaitiņiem	15
zināmā	15
dūšu	15
panākt	15
īstais	15
tavs	15
izsacīt	15
iekš	15
darīts	15
neesat	15
algu	15
izsacīja	15
troksnis	15
turējās	15
maltīte	15
licis	15
pagalmā	15
lietās	15
«tik	15
kārtu	15
sniedza	15
dzert	15
zeme	15
vērtības	15
krēslā	15
nenāca	15
šepat	15
varējis	15
vakaru	15
darbinieki	15
draudzes	15
komitejai	15
feldhauzenu	15
edelberts	15
bērniņ	14
staigāt	14
dēlu	14
mēdz	14
meklēja	14
vecenīte	14
iedeva	14
starpu	14
klēts	14
lūgt	14
svešais	14
lasīt	14
domādams	14
runājam	14
paliks	14
iedama	14
kalpu	14
aiziet	14
ganu	14
izvilka	14
šorīt	14
tukšā	14
zirga	14
miesas	14
aizgājis	14
gulēt	14
šinī	14
stāsti	14
laipni	14
aicināja	14
veda	14
pienākumu	14
baznīcu	14
«gan	14
nedrīkst	14
ziemu	14
trūkst	14
redzi	14
dieviņ	14
pulks	14
rijas	14
šādiem	14
dzīvību	14
ceļi	14
kora	14
reizēm	14
bārdu	14
stadulā	14
krita	14
pāvulu	14
cienīgā	14
nieku	14
nepatika	14
varam	14
pāvula	14
laist	14
dabas	14
kurienes	14
gultā	14
atnāca	14
atdot	14
parādu	14
tavas	14
oļinieti	14
policijas	14
trešais	14
pareizi	14
otrais	14
reižu	14
skroderis	14
maksas	14
kamanās	14
atbildes	14
šādās	14
galdiem	14
mācītāju	14
trūka	14
ist	14
toreiz	14
kurieni	14
deguna	14
malējs	14
deitsch	14
meitiņ	13
būsi	13
«nav	13
pavasara	13
nesa	13
nastiņu	13
vēlu	13
skolā	13
dibenā	13
tepat	13
anniņai	13
sacīdama	13
gaisā	13
debesīm	13
jauki	13
bērnus	13
pacēla	13
diviem	13
daža	13
divus	13
stāstīdams	13
varēšot	13
apģērbā	13
puse	13
nezinādama	13
mugurā	13
gribēs	13
sagāja	13
vaļas	13
kaimiņu	13
«še	13
klēti	13
amatos	13
veselu	13
gadi	13
pieminēt	13
vidus	13
cepures	13
soli	13
taisīja	13
skrēja	13
baiļu	13
vecis	13
vajadzētu	13
darot	13
sejs	13
izšķirt	13
ratu	13
negāja	13
sēd	13
padoma	13
kāzu	13
laime	13
cigāru	13
iekšas	13
ļaudīm	13
čangalietis	13
notikt	13
bailīgi	13
akurāt	13
ķenci	13
reti	13
kapeiku	13
piekrita	13
netiek	13
pirmās	13
īsi	13
izskatās	13
augļus	13
otrādi	13
visvairāk	13
nāves	13
atnācis	13
protokolā	13
saimnieku	13
kara	13
glāzi	13
patīk	13
sētas	13
izskatā	13
puiši	13
jāņa	13
bēdām	13
nemiera	13
zvanu	13
auf	13
darīšanu	13
nabaga	13
ārpus	13
pieminēto	13
sak	13
pāvulam	13
lāvas	13
pēdējās	13
sevīm	13
kuratorijas	13
valodām	13
pieņēma	12
otrējo	12
skatīdamās	12
maza	12
sejā	12
padusē	12
ticības	12
dzirdot	12
anniņu	12
bērēm	12
lasīja	12
raug	12
pazīstams	12
darīšanas	12
negribu	12
ziedu	12
mātei	12
koku	12
vecās	12
nē	12
gals	12
jura	12
nedomā	12
«kaut	12
četri	12
jautri	12
griezties	12
svaru	12
ēkas	12
nastu	12
dabūju	12
nākošā	12
negribot	12
guļot	12
palīgā	12
taisās	12
pēteris	12
irbēniem	12
nelaimes	12
celties	12
nevajadzēja	12
notika	12
dziļi	12
žēlastību	12
laimes	12
dzirdams	12
soļos	12
pavasarī	12
vainīgs	12
pašām	12
atkliedza	12
trešo	12
pikti	12
tādos	12
gribējis	12
nākuši	12
rudzu	12
žēl	12
sirdis	12
spētu	12
nāktu	12
svētki	12
apstiprināja	12
debesu	12
nopietni	12
rudens	12
pēdējais	12
metās	12
vaicāja	12
drīkst	12
dienai	12
domājat	12
zvans	12
strādājis	12
vecos	12
nekādā	12
tiesību	12
viesiem	12
tautu	12
alzo	12
savs	12
nolocīdamies	12
her	12
pāra	12
nodot	12
gada	12
papīru	12
raņķi	12
rullī	12
locekļi	12
piederēja	12
pērn	12
du	12
valdību	12
skaidru	12
brāl	12
veikļi	12
sulainis	12
drekberģa	12
grabovsku	12
unt	12
zādzību	12
ruļļu	12
zelta	11
jaunas	11
akmens	11
pielika	11
augumā	11
dēliņ	11
ļautiņi	11
dabū	11
dažam	11
skaitīt	11
mājās	11
nevienas	11
lepni	11
liekas	11
latviski	11
sāk	11
zina	11
nāve	11
iešanu	11
doties	11
nomanāms	11
sveša	11
vienaldzīgi	11
jāatstāj	11
galvām	11
nespēj	11
iztikt	11
ūdeni	11
pasauli	11
«labi	11
nāc	11
apturēja	11
jābrauc	11
aizsteidzās	11
izstāstīt	11
jaunie	11
pīpes	11
raudzīt	11
«dūmu	11
pagasta	11
sievai	11
beigām	11
pļavas	11
saiešanu	11
cēlās	11
pērkoņa	11
savai	11
kalna	11
pēdām	11
spēkiem	11
gribēdami	11
auga	11
otrreiz	11
«mēs	11
izrāva	11
grēki	11
dziļāk	11
jaunais	11
elles	11
liegt	11
aplūkot	11
stoikas	11
izsauca	11
gaisma	11
iegājis	11
iekrita	11
jautāt	11
brīdis	11
tādam	11
brīža	11
braucot	11
mājām	11
sita	11
maksu	11
degunu	11
mūžu	11
aplūkoja	11
leju	11
«jūs	11
ciešāk	11
savos	11
gudri	11
negribēdams	11
uzsāka	11
«tu	11
abu	11
šeitan	11
valstis	11
uzaicināja	11
savādi	11
vīrus	11
grabovska	11
algas	11
nicht	11
liecināja	11
dziesma	11
mielasta	11
tiktu	11
meitene	11
freilen	11
sākt	11
varēju	11
darītu	11
atmaņas	11
būsat	11
pēdas	11
nesen	11
runa	11
kurās	11
šrekhubera	11
brīnodamies	11
dāvanas	11
nemieru	11
uznāca	11
bisaru	11
zummu	11
zīme	11
tribīnes	11
ruļļiem	11
mācītājam	11
lapas	10
mūža	10
grāmatas	10
priekā	10
netāļu	10
nākam	10
dzīvojot	10
puisēns	10
lielāko	10
pilns	10
utt	10
pagriezies	10
atnest	10
nosēdās	10
sienas	10
vācu	10
jauks	10
pirtiņā	10
apziņu	10
ceļas	10
mūžam	10
salika	10
grēkus	10
kristus	10
spēkus	10
rudenī	10
vezumu	10
pleciem	10
pēdējiem	10
runādami	10
radās	10
pātagu	10
vilka	10
draugi	10
nelaimi	10
vilkdams	10
auksts	10
braucēji	10
padoms	10
ienācējiem	10
mantām	10
dažādi	10
jaunības	10
istaba	10
lienīte	10
dzīvi	10
ienākot	10
«laikam	10
trīnīte	10
«vēl	10
steigšus	10
dari	10
kait	10
darbā	10
godam	10
ieraudzījis	10
neatrada	10
pagrabā	10
sola	10
apklusa	10
vecītim	10
dusmas	10
apkakli	10
cerības	10
likuma	10
pulksteņa	10
laulātu	10
drēbēs	10
puisi	10
sarunāties	10
pirkstu	10
«jums	10
vesels	10
noslēpumu	10
puis	10
ceļus	10
nosprieda	10
augstāk	10
otro	10
lēnā	10
savrup	10
čangaliešus	10
piegājis	10
cēla	10
nezinot	10
tumsā	10
gaitiņi	10
pamata	10
krusts	10
nepavisam	10
iemesla	10
izskats	10
mierīgs	10
nebiju	10
drošības	10
pieder	10
auksti	10
pieņemt	10
vājnieks	10
pagājušā	10
jaukā	10
atstāja	10
izrādījās	10
latviešu	10
atvadījās	10
pastara	10
kaiti	10
pārliecināties	10
vasaru	10
izskaidrot	10
izmeklēt	10
ņems	10
notiks	10
smiekli	10
hm	10
steigšanos	10
izdevies	10
izdarīt	10
lielceļu	10
šķirstu	10
krietni	10
rakstiem	10
klajā	10
brandvīna	10
pārliecinājās	10
sakāt	10
mein	10
cerēt	10
uzņemt	10
taisīties	10
nedēļas	10
pacēlās	10
nelika	10
staigā	10
pilnas	10
vajadzīgo	10
«lūdzu	10
lielceļa	10
gaitiņa	10
netika	10
slavas	10
di	10
steigties	10
jānāk	10
čangalienu	10
svētkiem	10
mērnieciņa	10
briesmīgi	10
viegļi	10
skaidras	10
nemiers	10
programmas	10
priekšnieka	10
labdarīšanas	10
malēji	10
tūkstošu	10
līdzēt	10
mitēšanās	10
aktuarijusa	10
direktora	10
«was	10
grieta	10
vienai	9
šejienes	9
sevī	9
nākošu	9
jautrā	9
stīvi	9
logiem	9
gādā	9
nonāca	9
maizi	9
mīlīgi	9
pusmūža	9
stāsta	9
nebijis	9
klusām	9
čangaliešos	9
kāzām	9
pienācis	9
naudā	9
salikusi	9
vaiga	9
panest	9
iemesls	9
puķu	9
dievgalda	9
vienīgais	9
virs	9
sniega	9
lielāku	9
dzina	9
septiņi	9
atturēt	9
gāju	9
